name,street,postcode,city,latitude,longitude,turnover,change in turnover,profit,operative profit,personnel
Arkkitehtitoimisto Jari Hintsala,Leirintäalueentie 3,97700,Ranua,60.5822395,24.0718901,,,,,
Arkkitehtitoimisto Juhani Aalto Oy,Iso Kylätie 43,04130,Sipoo,66.695766,27.562634999999997,,,17.0,,5.0
Aihio Arkkitehdit Oy,Satakunnankatu 18 A,33210,Tampere,61.5010434,23.763256100000003,6413.0,"9,4%",1028.0,"19,8%",58.0
Arkkitehtitoimisto Juha Tuhkanen Oy,Viipurinkatu 31 A 1,00520,Helsinki,60.19314059999999,24.934214,10.0,"-54,5%",-1.0,-10%,1.0
Arkkitehtitoimisto Antti Heikkilä Oy,Äyritie 8 C,01510,Vantaa,60.29277695,24.96973014440453,394.0,"-13,6%",5.0,"1,3%",6.0
Suunnittelutoimisto Insar Oy,Torikatu 1,38200,Sastamala,40.88161525,29.368958198461943,82.0,"-2,4%",-1.0,"-1,2%",2.0
Arkkitehtisuunnittelu Arkilla Oy,Käsityöläiskatu 4,45100,Kouvola,60.4488936,22.2585192,183.0,"5,2%",13.0,"8,7%",
Arkkitehtuuritoimisto Vihanto & Co Oy,Satakunnankatu 33 b,33210,Tampere,61.5010434,23.763256100000003,673.0,"-8,2%",1.0,"0,1%",9.0
Arkkitehtuuritoimisto Ossi Sarkoranta Ky,Vallinkallionkuja 7 a 3,23600,Kalanti,60.823188,21.536445699999998,,,,,
KVA Arkkitehdit Oy,Keilaniementie 1,02150,Espoo,60.17505309999999,24.831067945692617,2579.0,"10,6%",8.0,"-1,5%",32.0
Arktika Suunnittelutoimisto,Puolikkotie 8 ,(Regus,"Iso Omena Business Center), 02230 Espoo",60.1631868,24.73904374851527,,,,,
Suunnittelutoimisto Pauli Nuutinen Ky,Jokikatu 7,80220,Joensuu,62.59576945,29.76977961387928,,,,,
K-Suunnittelu Savonlinna / EL Palsa,Olavinkatu 52,57100,Savonlinna,61.870172700000005,28.877041600000002,,,,,
HMT Arkkitehdit Oy,Hämeentie 155,00560,Helsinki,60.45859720000001,22.3083146,387.0,"-26,3%",-47.0,"-11,8%",8.0
Lakeuden Alk-Rakennus Oy,60200 Seinäjoki,,,62.73112337203681,22.859740421803398,48.0,"4,3%",-1.0,"-2,1%",1.0
LPR-arkkitehdit Oy,Kauppiaskatu 5 A,20100,Turku,60.4537174,22.2656557,1707.0,"30,8%",225.0,"16,3%",14.0
ArkVisio Oy,Puustellinpolku 12,00410,Helsinki,60.24527165,24.860982906668287,,,,,
Arkkitehtitoimisto Hyvärinen & Co Oy,Vattuniemenkatu 15 A,00210,Helsinki,60.1543916,24.884773499999998,,,,,
Arkkitehtuuritoimisto Arsatek Oy,Possijärvenkatu 1,33400,Tampere,61.51734855,23.664015344288988,1100.0,"39,9%",117.0,"13,5%",10.0
Kakadu,Kaikukatu 2 C,00530,Helsinki,60.1829064,24.959174899999997,883.0,"-16,7%",25.0,"3,3%",15.0
Arkkitehtuuritoimisto Jaakko Nieminen Oy,Alinenkatu 43,37100,Nokia,61.1231846,21.510432,262.0,11%,11.0,"4,4%",
Suunnittelu- ja Piirustuspalvelu A Heikkinen Oy,Kintastie 4,87700,Kajaani,65.0257632,25.529754699999998,,,11.0,,1.0
Arkyhtymä Oy,Viipurintie 45,15150,Lahti,60.9750275,25.69596826462241,218.0,"-12,1%",-19.0,"-8,3%",3.0
Ajan Arkkitehdit Oy,Raatihuoneenkatu 19 B,00210,"kerros, 13100 Hämeenlinna",62.384322,21.2233462,815.0,"34,9%",259.0,"38,2%",8.0
Suunnittelutalo PPG Oy,Virtaintie 17,34800,Virrat,62.258184,24.431699,1530.0,"15,5%",327.0,"26,6%",12.0
Arkkitehtitoimisto Jari Hintsala,Leirintäalueentie 3,97700,Ranua,60.5822395,24.0718901,,,,,
Arkkitehtitoimisto Juhani Aalto Oy,Iso Kylätie 43,04130,Sipoo,66.695766,27.562634999999997,,,17.0,,5.0
Aihio Arkkitehdit Oy,Satakunnankatu 18 A,33210,Tampere,61.5010434,23.763256100000003,6413.0,"9,4%",1028.0,"19,8%",58.0
Arkkitehtitoimisto Juha Tuhkanen Oy,Viipurinkatu 31 A 1,00520,Helsinki,60.19314059999999,24.934214,10.0,"-54,5%",-1.0,-10%,1.0
Arkkitehtitoimisto Antti Heikkilä Oy,Äyritie 8 C,01510,Vantaa,60.29277695,24.96973014440453,394.0,"-13,6%",5.0,"1,3%",6.0
Suunnittelutoimisto Insar Oy,Torikatu 1,38200,Sastamala,40.88161525,29.368958198461943,82.0,"-2,4%",-1.0,"-1,2%",2.0
Arkkitehtisuunnittelu Arkilla Oy,Käsityöläiskatu 4,45100,Kouvola,60.4488936,22.2585192,183.0,"5,2%",13.0,"8,7%",
Arkkitehtuuritoimisto Vihanto & Co Oy,Satakunnankatu 33 b,33210,Tampere,61.5010434,23.763256100000003,673.0,"-8,2%",1.0,"0,1%",9.0
Arkkitehtuuritoimisto Ossi Sarkoranta Ky,Vallinkallionkuja 7 a 3,23600,Kalanti,60.823188,21.536445699999998,,,,,
KVA Arkkitehdit Oy,Keilaniementie 1,02150,Espoo,60.17505309999999,24.831067945692617,2579.0,"10,6%",8.0,"-1,5%",32.0
Arktika Suunnittelutoimisto,Puolikkotie 8 ,(Regus,"Iso Omena Business Center), 02230 Espoo",60.1631868,24.73904374851527,,,,,
Suunnittelutoimisto Pauli Nuutinen Ky,Jokikatu 7,80220,Joensuu,62.59576945,29.76977961387928,,,,,
K-Suunnittelu Savonlinna / EL Palsa,Olavinkatu 52,57100,Savonlinna,61.870172700000005,28.877041600000002,,,,,
HMT Arkkitehdit Oy,Hämeentie 155,00560,Helsinki,60.45859720000001,22.3083146,387.0,"-26,3%",-47.0,"-11,8%",8.0
Lakeuden Alk-Rakennus Oy,60200 Seinäjoki,,,62.73112337203681,22.859740421803398,48.0,"4,3%",-1.0,"-2,1%",1.0
LPR-arkkitehdit Oy,Kauppiaskatu 5 A,20100,Turku,60.4537174,22.2656557,1707.0,"30,8%",225.0,"16,3%",14.0
ArkVisio Oy,Puustellinpolku 12,00410,Helsinki,60.24527165,24.860982906668287,,,,,
Arkkitehtitoimisto Hyvärinen & Co Oy,Vattuniemenkatu 15 A,00210,Helsinki,60.1543916,24.884773499999998,,,,,
Arkkitehtuuritoimisto Arsatek Oy,Possijärvenkatu 1,33400,Tampere,61.51734855,23.664015344288988,1100.0,"39,9%",117.0,"13,5%",10.0
Kakadu,Kaikukatu 2 C,00530,Helsinki,60.1829064,24.959174899999997,883.0,"-16,7%",25.0,"3,3%",15.0
Arkkitehtuuritoimisto Jaakko Nieminen Oy,Alinenkatu 43,37100,Nokia,61.1231846,21.510432,262.0,11%,11.0,"4,4%",
Suunnittelu- ja Piirustuspalvelu A Heikkinen Oy,Kintastie 4,87700,Kajaani,65.0257632,25.529754699999998,,,11.0,,1.0
Arkyhtymä Oy,Viipurintie 45,15150,Lahti,60.9750275,25.69596826462241,218.0,"-12,1%",-19.0,"-8,3%",3.0
Ajan Arkkitehdit Oy,Raatihuoneenkatu 19 B,00210,"kerros, 13100 Hämeenlinna",62.384322,21.2233462,815.0,"34,9%",259.0,"38,2%",8.0
